Year,Rank,University,Score,Link,Country,City,Region,Logo
2017,244, university of dundee,42,https://www.topuniversities.com/universities/university-dundee,United Kingdom,Dundee,https://www.topuniversities.com/sites/default/files/-university-of-dundee_592560cf2aeae70239af4b2c_small.jpg,Europe
2017,374,aalborg university,32,https://www.topuniversities.com/universities/aalborg-university,Denmark,Aalborg,https://www.topuniversities.com/sites/default/files/aalborg-university_1262_small.jpg,Europe
2017,133,aalto university,57,https://www.topuniversities.com/universities/aalto-university,Finland,Espoo,https://www.topuniversities.com/sites/default/files/aalto-university_261_small.jpg,Europe
2017,117,aarhus university,60,https://www.topuniversities.com/universities/aarhus-university,Denmark,,https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg,Europe
2017,236,al-farabi kazakh national university,43,https://www.topuniversities.com/universities/al-farabi-kazakh-national-university,Kazakhstan,Almaty,https://www.topuniversities.com/sites/default/files/al-farabi-kazakh-national-university_2146_small.jpg,Asia
2017,163,albert-ludwigs-universitaet freiburg,52,https://www.topuniversities.com/universities/albert-ludwigs-universitaet-freiburg,Germany,Freiburg im Breisgau,https://www.topuniversities.com/sites/default/files/albert-ludwigs-universitaet-freiburg_216_small.jpg,Europe
2017,208,alma mater studiorum - university of bologna,46,https://www.topuniversities.com/universities/alma-mater-studiorum-university-bologna,Italy,Bologna,https://www.topuniversities.com/sites/default/files/alma-mater-studiorum-university-of-bologna_592560cf2aeae70239af4ac0_small.jpg,Europe
2017,384,american university,31,https://www.topuniversities.com/universities/american-university,United States,Washington D.C.,https://www.topuniversities.com/sites/default/files/american-university_17_small.jpg,North America
2017,228,american university of beirut (aub),43,https://www.topuniversities.com/universities/american-university-beirut-aub,Lebanon,Beirut ,https://www.topuniversities.com/sites/default/files/american-university-of-beirut-aub_780_small.jpg,Asia
2017,222,arizona state university,44,https://www.topuniversities.com/universities/arizona-state-university,United States,Phoenix,https://www.topuniversities.com/sites/default/files/arizona-state-university_592560cf2aeae70239af4a9c_small.jpg,North America
2017,358,aston university,33,https://www.topuniversities.com/universities/aston-university,United Kingdom,Birmingham,https://www.topuniversities.com/sites/default/files/aston-university_29_small.jpg,Europe
2017,306,bauman moscow state technical university,36,https://www.topuniversities.com/universities/bauman-moscow-state-technical-university,Russia,Moscow,https://www.topuniversities.com/sites/default/files/bauman-moscow-state-technical-university_592560cf2aeae70239af505c_small.jpg,Europe
2017,389,beijing institute of technology,31,https://www.topuniversities.com/universities/beijing-institute-technology,China (Mainland),Beijing,https://www.topuniversities.com/sites/default/files/beijing-institute-of-technology_868_small.jpg,Asia
2017,257,beijing normal university ,40,https://www.topuniversities.com/universities/beijing-normal-university,China (Mainland),Beijing,https://www.topuniversities.com/sites/default/files/beijing-normal-university_869_small.jpg,Asia
2017,354,belarusian state university,33,https://www.topuniversities.com/universities/belarusian-state-university,Belarus,Minsk,https://www.topuniversities.com/sites/default/files/belarusian-state-university_14128_small.jpg,Europe
2017,320,ben-gurion university of the negev,35,https://www.topuniversities.com/universities/ben-gurion-university-negev,Israel,Be'er Sheva,https://www.topuniversities.com/sites/default/files/ben-gurion-university-of-the-negev_592560cf2aeae70239af4ab7_small.jpg,Asia
2017,280,birkbeck|| university of london,38,https://www.topuniversities.com/universities/birkbeck-university-london,United Kingdom,London,https://www.topuniversities.com/sites/default/files/birkbeck-university-of-london_1636_small.jpg,Europe
2017,299,boston college,37,https://www.topuniversities.com/universities/boston-college,United States,Newton,https://www.topuniversities.com/sites/default/files/boston-college_723_small.jpg,North America
2017,89,boston university,65,https://www.topuniversities.com/universities/boston-university,United States,Boston,https://www.topuniversities.com/sites/default/files/boston-university_592560cf2aeae70239af4ac2_small.jpg,North America
2017,49,brown university,78,https://www.topuniversities.com/universities/brown-university,United States,Providence,https://www.topuniversities.com/sites/default/files/brown-university_72_small.jpg,North America
2017,345,brunel university london,34,https://www.topuniversities.com/universities/brunel-university-london,United Kingdom,,https://www.topuniversities.com/sites/default/files/brunel-university-london_592560cf2aeae70239af4acc_small.jpg,Europe
2017,5,california institute of technology (caltech),97,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States,Pasadena,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,North America
